எண்,பால்,இயல்,அதிகாரம்,குறள்
1,1. அறத்துப்பால்,பாயிரவியல்,1.1.1 கடவுள் வாழ்த்து,"அகர முதல எழுத்தெல்லாம் ஆதி
பகவன் முதற்றே உலகு."
2,1. அறத்துப்பால்,பாயிரவியல்,1.1.1 கடவுள் வாழ்த்து,"கற்றதனால் ஆய பயனென்கொல் வாலறிவன்
நற்றாள் தொழாஅர் எனின்."
3,1. அறத்துப்பால்,பாயிரவியல்,1.1.1 கடவுள் வாழ்த்து,"மலர்மிசை ஏகினான் மாணடி சேர்ந்தார்
நிலமிசை நீடுவாழ் வார்."
4,1. அறத்துப்பால்,பாயிரவியல்,1.1.1 கடவுள் வாழ்த்து,"வேண்டுதல் வேண்டாமை இலானடி சேர்ந்தார்க்கு
யாண்டும் இடும்பை இல."
5,1. அறத்துப்பால்,பாயிரவியல்,1.1.1 கடவுள் வாழ்த்து,"இருள்சேர் இருவினையும் சேரா இறைவன்
பொருள்சேர் புகழ்புரிந்தார் மாட்டு."
6,1. அறத்துப்பால்,பாயிரவியல்,1.1.1 கடவுள் வாழ்த்து,"பொறிவாயில் ஐந்தவித்தான் பொய்தீர் ஒழுக்க
நெறிநின்றார் நீடுவாழ் வார்."
7,1. அறத்துப்பால்,பாயிரவியல்,1.1.1 கடவுள் வாழ்த்து,"தனக்குவமை இல்லாதான் தாள்சேர்ந்தார்க் கல்லால்
மனக்கவலை மாற்றல் அரிது."
8,1. அறத்துப்பால்,பாயிரவியல்,1.1.1 கடவுள் வாழ்த்து,"அறவாழி அந்தணன் தாள்சேர்ந்தார்க் கல்லால்
பிறவாழி நீந்தல் அரிது."
9,1. அறத்துப்பால்,பாயிரவியல்,1.1.1 கடவுள் வாழ்த்து,"கோளில் பொறியின் குணமிலவே எண்குணத்தான்
தாளை வணங்காத் தலை."
10,1. அறத்துப்பால்,பாயிரவியல்,1.1.1 கடவுள் வாழ்த்து,"பிறவிப் பெருங்கடல் நீந்துவர் நீந்தார்
இறைவன் அடிசேரா தார்."
11,1. அறத்துப்பால்,பாயிரவியல்,1.1.2 வான்சிறப்பு,"வான்நின்று உலகம் வழங்கி வருதலால்
தான்அமிழ்தம் என்றுணரற் பாற்று."
12,1. அறத்துப்பால்,பாயிரவியல்,1.1.2 வான்சிறப்பு,"துப்பார்க்குத் துப்பாய துப்பாக்கித் துப்பார்க்குத்
துப்பாய தூஉம் மழை."
13,1. அறத்துப்பால்,பாயிரவியல்,1.1.2 வான்சிறப்பு,"விண்இன்று பொய்ப்பின் விரிநீர் வியனுலகத்து
உள்நின்று உடற்றும் பசி."
14,1. அறத்துப்பால்,பாயிரவியல்,1.1.2 வான்சிறப்பு,"ஏரின் உழாஅர் உழவர் புயல்என்னும்
வாரி வளங்குன்றிக் கால்."
15,1. அறத்துப்பால்,பாயிரவியல்,1.1.2 வான்சிறப்பு,"கெடுப்பதூஉம் கெட்டார்க்குச் சார்வாய்மற் றாங்கே
எடுப்பதூஉம் எல்லாம் மழை."
16,1. அறத்துப்பால்,பாயிரவியல்,1.1.2 வான்சிறப்பு,"விசும்பின் துளிவீழின் அல்லால்மற் றாங்கே
பசும்புல் தலைகாண்பு அரிது."
17,1. அறத்துப்பால்,பாயிரவியல்,1.1.2 வான்சிறப்பு,"நெடுங்கடலும் தன்நீர்மை குன்றும் தடிந்தெழிலி
தான்நல்கா தாகி விடின்."
18,1. அறத்துப்பால்,பாயிரவியல்,1.1.2 வான்சிறப்பு,"சிறப்பொடு பூசனை செல்லாது வானம்
வறக்குமேல் வானோர்க்கும் ஈண்டு."
19,1. அறத்துப்பால்,பாயிரவியல்,1.1.2 வான்சிறப்பு,"தானம் தவம்இரண்டும் தங்கா வியன்உலகம்
வானம் வழங்கா தெனின்."
20,1. அறத்துப்பால்,பாயிரவியல்,1.1.2 வான்சிறப்பு,"நீர்இன்று அமையாது உலகெனின் யார்யார்க்கும்
வான்இன்று அமையாது ஒழுக்கு."
21,1. அறத்துப்பால்,பாயிரவியல்,1.1.3. நீத்தார் பெருமை,"ஒழுக்கத்து நீத்தார் பெருமை விழுப்பத்து
வேண்டும் பனுவல் துணிவு."
22,1. அறத்துப்பால்,பாயிரவியல்,1.1.3. நீத்தார் பெருமை,"துறந்தார் பெருமை துணைக்கூறின் வையத்து
இறந்தாரை எண்ணிக்கொண் டற்று."
23,1. அறத்துப்பால்,பாயிரவியல்,1.1.3. நீத்தார் பெருமை,"இருமை வகைதெரிந்து ஈண்டுஅறம் பூண்டார்
பெருமை பிறங்கிற்று உலகு."
24,1. அறத்துப்பால்,பாயிரவியல்,1.1.3. நீத்தார் பெருமை,"உரனென்னும் தோட்டியான் ஓரைந்தும் காப்பான்
வரனென்னும் வைப்பிற்கோர் வித்து."
25,1. அறத்துப்பால்,பாயிரவியல்,1.1.3. நீத்தார் பெருமை,"ஐந்தவித்தான் ஆற்றல் அகல்விசும்பு ளார்கோமான்
இந்திரனே சாலுங் கரி."
26,1. அறத்துப்பால்,பாயிரவியல்,1.1.3. நீத்தார் பெருமை,"செயற்கரிய செய்வார் பெரியர் சிறியர்
செயற்கரிய செய்கலா தார்."
27,1. அறத்துப்பால்,பாயிரவியல்,1.1.3. நீத்தார் பெருமை,"சுவைஒளி ஊறுஓசை நாற்றமென ஐந்தின்
வகைதெரிவான் கட்டே உலகு."
28,1. அறத்துப்பால்,பாயிரவியல்,1.1.3. நீத்தார் பெருமை,"நிறைமொழி மாந்தர் பெருமை நிலத்து
மறைமொழி காட்டி விடும்."
29,1. அறத்துப்பால்,பாயிரவியல்,1.1.3. நீத்தார் பெருமை,"குணமென்னும் குன்றேறி நின்றார் வெகுளி
கணமேயும் காத்தல் அரிது."
30,1. அறத்துப்பால்,பாயிரவியல்,1.1.3. நீத்தார் பெருமை,"அந்தணர் என்போர் அறவோர்மற் றெவ்வுயிர் க்கும்
செந்தண்மை பூண்டொழுக லான்."
